Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Parsley_var2,2 T.,50,2,t,t,0,t,t,Vegetables F-P
Parsnips_var2,1 cup,155,95,2,1,0,3,22,Vegetables F-P
Peas_var2,1 cup,100,66,3,t,0,0.1,13,Vegetables F-P
"Fresh, steamed peas_var2",1 cup,100,70,5,t,0,2.2,12,Vegetables R-Z
Frozen peas_var2,1 cup,100,,5,t,0,1.8,12,Vegetables R-Z
Split cooked peas_var2,4 cups,100,115,8,t,0,0.4,21,Vegetables R-Z
heated peas_var2,1 cup,100,53,3,t,0,1,10,Vegetables R-Z
Peppers canned_var2,1 pod,38,10,t,t,0,t,2,Vegetables R-Z
"Peppers Raw, green, sweet_var2",1 large,100,25,1,t,0,1.4,6,Vegetables R-Z
Peppers with beef and crumbs_var2,1 med.,150,255,19,9,8,1,24,Vegetables R-Z
"Potatoes, baked_var2",1 med.,100,100,2,t,0,0.5,22,Vegetables R-Z
French-fried_var2,10 pieces,60,155,-1,7,3,0.4,20,Vegetables R-Z
Potatoes Mashed with milk and butter_var2,1 cup,200,230,4,12,11,0.7,28,Vegetables R-Z
"Potatoes, pan-tried_var2",3/4 cup,100,268,4,14,6,0.4,33,Vegetables R-Z
Scalloped with cheese potatoes_var2,3/4 cup,100,145,6,8,7,0.4,14,Vegetables R-Z
Steamed potatoes before peeling_var2,1 med.,100,80,2,t,0,0.4,19,Vegetables R-Z
Potato chips_var2,10,20,110,1,7,4,t,10,Vegetables R-Z
Radishes_var2,5 small,50,10,t,0,0,0.3,2,Vegetables R-Z
Rutabagas_var2,4 cups,100,32,t,0,0,1.4,8,Vegetables R-Z
Soybeans_var2,1 cup,200,260,22,11,0,3.2,20,Vegetables R-Z
Spinach_var2,1 cup,100,26,3,t,0,1,3,Vegetables R-Z
Squash_var2,1 cup,210,35,1,t,0,0.6,8,Vegetables R-Z
"Winter, mashed_var2",1 cup,200,95,4,t,0,2.6,23,Vegetables R-Z
Sweet potatoes_var2,1 med.,110,155,2,1,0,1,36,Vegetables R-Z
Candied_var2,1 med.,175,235,2,6,5,1.5,80,Vegetables R-Z
Tomatoes_var2,1 cup,240,50,2,t,0,1,9,Vegetables R-Z
"Raw, 2 by 2 1/2_var2",1 med.,150,30,1,t,0,0.6,6,Vegetables R-Z
Tomato juice_var2,1 cup,240,50,2,t,0,0.6,10,Vegetables R-Z
Tomato catsup_var2,1 T.,17,15,t,t,0,t,4,Vegetables R-Z
Turnip greens_var2,1 cup,145,45,4,1,0,1.8,8,Vegetables R-Z
"Turnips, steamed_var2",1 cup,155,40,1,t,0,1.8,9,Vegetables R-Z
"Watercress stems, raw_var2",1 cup,50,9,1,t,0,0.3,1,Fruits A-F
Apple juice canned_var2,1 cup,250,125,t,0,0,0,34,Fruits A-F
Apple vinegar_var2,1/3 cup,100,14,t,0,0,0,3,Fruits A-F
"Apples, raw_var2",1 med,130,70,t,t,0,1,18,Fruits A-F
Stewed or canned_var2,1 cup,240,100,t,t,0,2,26,Fruits A-F
Apricots_var2,1 cup,250,220,2,t,0,1,57,Fruits A-F
"Dried, uncooked_var2",1/2 cup,75,220,4,t,0,1,50,Fruits A-F
Fresh_var2,3 med.,114,55,1,t,0,0.7,14,Fruits A-F
"Nectar, or juice_var2",1 cup,250,140,1,t,0,2,36,Fruits A-F
